DATE,TOTAL_PRICESELL,holidayWeekS
2016-03-14,221.71780000000007,0
2016-03-21,279.53033999999997,16
2016-03-28,434.4740600000002,0
2016-04-04,514.5016800000002,0
2016-04-11,724.6790600000004,0
2016-04-18,539.5032199999999,11
2016-04-25,609.7778199999999,0
2016-05-02,722.4969800000006,0
2016-05-09,939.7563000000006,0
2016-05-16,720.5172400000002,0
2016-05-23,735.7763200000005,0
2016-05-30,857.2743399999996,0
2016-06-06,712.0106000000002,0
2016-06-13,775.5721999999998,0
2016-06-20,810.3646400000001,0
2016-06-27,545.5160800000001,0
2016-07-04,758.8613799999999,0
2016-07-11,826.7732000000002,0
2016-07-18,1022.7936400000001,0
2016-07-25,777.4138200000002,0
2016-08-01,972.01856,0
2016-08-08,777.7789200000003,0
2016-08-15,880.1829399999999,0
2016-08-22,830.3778400000002,0
2016-08-29,967.3675000000002,0
2016-09-05,725.5402600000001,0
2016-09-12,727.0604400000002,0
2016-09-19,789.8946599999998,0
2016-09-26,717.883,0
2016-10-03,844.2591600000007,0
2016-10-10,1145.2778999999991,0
2016-10-17,921.6271600000003,0
2016-10-24,922.6297800000007,0
2016-10-31,928.289060000001,0
2016-11-07,816.0808600000001,0
2016-11-14,924.3010000000004,0
2016-11-21,749.6093400000007,0
2016-11-28,846.50806,0
2016-12-05,722.9559400000003,0
2016-12-12,740.8912600000007,0
2016-12-19,525.0038400000002,18
2016-12-26,338.9956200000001,26
2017-01-02,558.2462000000005,0
2017-01-09,760.8624600000005,0
2017-01-16,775.6307400000001,0
2017-01-23,498.3462000000001,18
2017-01-30,760.6162600000004,0
2017-02-06,595.1947800000002,0
2017-02-13,638.19484,0
2017-02-20,475.1846199999998,0
2017-02-27,474.47122000000013,0
2017-03-06,436.88080000000014,0
2017-03-13,447.8669200000001,0
2017-03-20,464.3979800000002,0
2017-03-27,436.82379999999995,0
2017-04-03,556.7524200000006,0
2017-04-10,467.39574,28
2017-04-17,712.8388600000003,0
2017-04-24,535.7745399999999,26
2017-05-01,546.0656400000001,0
2017-05-08,585.7134600000003,0
2017-05-15,600.5806200000003,0
2017-05-22,547.5567999999997,0
2017-05-29,620.32784,0
2017-06-05,571.6822999999998,0
2017-06-12,490.7505800000002,0
2017-06-19,616.5827800000003,0
2017-06-26,534.7571200000001,0
2017-07-03,503.7010800000001,0
2017-07-10,444.3699200000002,0
2017-07-17,619.3716199999997,0
2017-07-24,706.8785399999999,0
2017-07-31,692.2974399999999,0
2017-08-07,800.3908200000002,0
2017-08-14,568.2480600000001,0
2017-08-21,611.2534200000001,0
2017-08-28,721.2137200000002,0
2017-09-04,463.0413,0
2017-09-11,540.40434,0
2017-09-18,488.88800000000003,0
2017-09-25,530.1396400000002,0
2017-10-02,439.1576600000001,0
2017-10-09,765.7164599999995,0
2017-10-16,563.0029400000002,0
2017-10-23,508.40841999999986,0
2017-10-30,514.6623599999997,0
2017-11-06,451.22284000000013,0
2017-11-13,649.4797000000005,0
2017-11-20,481.7027400000003,0
2017-11-27,471.5010400000002,0
2017-12-04,543.40416,0
2017-12-11,523.0225800000002,0
2017-12-18,398.89057999999983,0
2017-12-25,242.06258,0
2018-01-01,439.2318899999999,0
2018-01-08,562.2759400000002,0
2018-01-15,401.97339999999997,0
2018-01-22,390.97670000000005,12
2018-01-29,479.1473600000001,0
2018-02-05,427.24890000000005,0
2018-02-12,470.24546000000004,0
2018-02-19,396.82858000000016,0
2018-02-26,329.3542600000001,0
2018-03-05,231.2091400000001,0
2018-03-12,253.98660000000004,0
2018-03-19,391.65284,0
2018-03-26,273.4847200000001,15
2018-04-02,404.6301600000001,0
2018-04-09,390.3938600000002,0
2018-04-16,446.49662000000006,0
2018-04-23,428.30755999999974,0
2018-04-30,507.61826000000036,0
2018-05-07,433.88075999999984,0
2018-05-14,476.99422000000027,0
2018-05-21,553.21108,0
2018-05-28,504.01963999999987,0
2018-06-04,498.52597999999995,0
2018-06-11,559.1137800000002,0
2018-06-18,575.8093000000003,0
2018-06-25,697.9730400000004,0
2018-07-02,558.4729400000002,0
2018-07-09,548.4947200000001,0
2018-07-16,500.12296000000015,0
2018-07-23,617.7033200000003,0
2018-07-30,481.9547400000001,0
2018-08-06,652.8857,0
2018-08-13,480.69348000000014,0
2018-08-20,594.4216,0
2018-08-27,590.7705400000003,0
2018-09-03,507.07686,0
2018-09-10,418.1608600000002,0
2018-09-17,479.58618000000024,0
2018-09-24,504.56508000000036,0
2018-10-01,491.8308600000005,0
2018-10-08,452.66570000000013,0
2018-10-15,433.3987,0
2018-10-22,578.8108600000005,0
2018-10-29,494.82387,0
2018-11-05,400.0791400000003,0
2018-11-12,459.63800000000015,0
2018-11-19,488.03303999999997,0
2018-11-26,574.44078,0
2018-12-03,377.2099400000001,0
2018-12-10,308.6228800000001,0
2018-12-17,342.3646200000001,0
2018-12-24,145.39576,0
2018-12-31,264.2319600000001,0
2019-01-07,209.73804000000004,0
2019-01-14,261.4356200000001,0
2019-01-21,247.52018000000004,18
2019-01-28,439.7115200000002,0
2019-02-04,334.5699999999999,0
2019-02-11,276.3887,0
2019-02-18,261.06338000000005,0
2019-02-25,339.7382200000002,0
2019-03-04,302.48002,0
2019-03-11,310.79922,0
2019-03-18,298.96472000000006,0
2019-03-25,359.4397399999999,0
2019-04-01,374.66481999999985,0
2019-04-08,576.2968400000002,0
2019-04-15,583.4027800000001,22
2019-04-22,461.7106400000002,17
2019-04-29,444.8862999999999,0
2019-05-06,491.4072800000002,0
2019-05-13,459.49080000000015,0
2019-05-20,564.9606800000001,0
2019-05-27,389.11906,0
2019-06-03,419.16964000000024,0
2019-06-10,491.8155600000002,0
2019-06-17,559.7011799999997,0
2019-06-24,481.82968000000005,0
2019-07-01,503.54497999999995,0
2019-07-08,447.32987999999995,0
2019-07-15,383.2377800000002,0
2019-07-22,414.8391399999999,0
2019-07-29,554.38328,0
2019-08-05,397.87442,0
2019-08-12,364.19228,0
2019-08-19,359.10645999999997,0
2019-08-26,362.55452000000014,0
2019-09-02,334.57797999999997,0
2019-09-09,394.53292000000005,0
2019-09-16,366.2940800000001,0
2019-09-23,380.1598,0
2019-09-30,381.2391400000001,0
2019-10-07,354.78891999999985,0
