DATE,TOTAL_PRICESELL
2016-03-14,389.28476
2016-03-21,669.11098
2016-03-28,1044.53012
2016-04-04,1022.4587399999999
2016-04-11,752.9260800000001
2016-04-18,856.5636999999999
2016-04-25,763.0557
2016-05-02,786.7058000000001
2016-05-09,888.45674
2016-05-16,1047.71926
2016-05-23,879.4285
2016-05-30,845.4760400000001
2016-06-06,948.73946
2016-06-13,779.5308200000002
2016-06-20,686.31386
2016-06-27,652.5748600000001
2016-07-04,820.9813
2016-07-11,824.8412199999999
2016-07-18,910.082
2016-07-25,945.9596799999998
2016-08-01,972.00234
2016-08-08,947.02014
2016-08-15,1159.3189000000002
2016-08-22,869.54762
2016-08-29,971.3034399999999
2016-09-05,1143.24556
2016-09-12,872.71988
2016-09-19,836.21846
2016-09-26,830.0063
2016-10-03,912.4682800000002
2016-10-10,992.3507999999998
2016-10-17,1204.6810400000002
2016-10-24,1025.4258399999999
2016-10-31,1310.8670000000002
2016-11-07,1164.38576
2016-11-14,929.71984
2016-11-21,943.94684
2016-11-28,1152.71902
2016-12-05,1034.23674
2016-12-12,678.9144399999999
2016-12-19,766.3060800000002
2016-12-26,528.1825
2017-01-02,767.1648399999999
2017-01-09,839.51372
2017-01-16,969.87168
2017-01-23,755.48218
2017-01-30,989.2937999999999
2017-02-06,858.0433200000001
2017-02-13,925.3445600000001
2017-02-20,877.6911
2017-02-27,795.817
2017-03-06,841.6134400000001
2017-03-13,850.37234
2017-03-20,911.3293199999999
2017-03-27,1023.9639399999999
2017-04-03,1022.17642
2017-04-10,752.3243400000001
2017-04-17,810.48156
2017-04-24,893.2260200000001
2017-05-01,1006.1955200000001
2017-05-08,693.15348
2017-05-15,747.1191900000001
2017-05-22,734.30812
2017-05-29,690.9812400000001
2017-06-05,833.4163000000001
2017-06-12,714.35096
2017-06-19,841.11914
2017-06-26,1012.6676199999998
2017-07-03,1171.75272
2017-07-10,881.60836
2017-07-17,1031.50304
2017-07-24,915.3496000000001
2017-07-31,1063.53614
2017-08-07,1032.85448
2017-08-14,860.59542
2017-08-21,940.1318800000001
2017-08-28,922.9229799999999
2017-09-04,831.8443399999999
2017-09-11,858.43328
2017-09-18,891.6619800000001
2017-09-25,851.0788
2017-10-02,1023.98032
2017-10-09,960.5673399999998
2017-10-16,1041.64246
2017-10-23,987.8309399999999
2017-10-30,1093.1764799999999
2017-11-06,878.88288
2017-11-13,975.14308
2017-11-20,1020.9424200000002
2017-11-27,748.8164400000001
2017-12-04,1028.2860799999999
2017-12-11,853.7500799999999
2017-12-18,880.7925600000001
2017-12-25,498.42196000000007
2018-01-01,972.86258
2018-01-08,1070.73862
2018-01-15,782.2750600000002
2018-01-22,1041.6242800000002
2018-01-29,1264.9074
2018-02-05,902.5910400000002
2018-02-12,1037.0084000000002
2018-02-19,860.22834
2018-02-26,880.0285399999999
2018-03-05,919.8981
2018-03-12,891.6679899999999
2018-03-19,902.59474
2018-03-26,971.8762000000002
2018-04-02,861.07122
2018-04-09,906.38014
2018-04-16,1039.33378
2018-04-23,737.3271
2018-04-30,847.0028800000002
2018-05-07,874.4820800000001
2018-05-14,892.0940800000001
2018-05-21,659.4663800000001
2018-05-28,771.3439999999999
2018-06-04,730.92826
2018-06-11,868.6630599999999
2018-06-18,1106.19996
2018-06-25,899.0392400000001
2018-07-02,792.6077400000001
2018-07-09,1018.55816
2018-07-16,886.7814
2018-07-23,960.6201800000002
2018-07-30,849.1368200000002
2018-08-06,956.0181799999999
2018-08-13,708.9828000000001
2018-08-20,812.85282
2018-08-27,932.2746999999999
2018-09-03,857.8218400000001
2018-09-10,758.5391
2018-09-17,1091.9321400000001
2018-09-24,720.1457
2018-10-01,1074.3787399999999
2018-10-08,791.2589399999999
2018-10-15,619.2183200000001
2018-10-22,994.75424
2018-10-29,888.93172
2018-11-05,887.2253800000001
2018-11-12,821.7011600000001
2018-11-19,702.4790599999999
2018-11-26,752.51188
2018-12-03,604.3742
2018-12-10,509.09265999999997
2018-12-17,715.51458
2018-12-24,419.83110000000005
2018-12-31,628.41202
2019-01-07,727.2737199999999
2019-01-14,821.1789999999999
2019-01-21,636.97002
2019-01-28,796.7756800000001
2019-02-04,918.76104
2019-02-11,640.2506199999999
2019-02-18,594.13822
2019-02-25,669.04218
2019-03-04,609.9313399999999
2019-03-11,933.4576800000002
2019-03-18,868.58874
2019-03-25,885.37768
2019-04-01,939.2553600000002
2019-04-08,902.9953599999998
2019-04-15,994.16546
2019-04-22,996.0494399999998
2019-04-29,953.05876
2019-05-06,952.4367199999999
2019-05-13,874.2229399999999
2019-05-20,890.8572999999999
2019-05-27,826.6913599999999
2019-06-03,768.2040000000001
2019-06-10,879.6904600000001
2019-06-17,954.25708
2019-06-24,896.7752600000001
2019-07-01,864.8666399999998
2019-07-08,917.7834599999999
2019-07-15,1015.5409600000003
2019-07-22,1032.02662
2019-07-29,1002.0924599999998
2019-08-05,946.3094799999999
2019-08-12,722.8481
2019-08-19,770.67138
2019-08-26,574.66682
2019-09-02,564.4517800000001
2019-09-09,575.3656000000001
2019-09-16,662.5949199999999
2019-09-23,699.9967399999999
2019-09-30,923.663
2019-10-07,566.8932
