DATE,TOTAL_PRICESELL
2016-03-14,200.22226
2016-03-21,531.1518800000001
2016-03-28,624.64136
2016-04-04,669.0809800000001
2016-04-11,693.9536600000001
2016-04-18,525.8255
2016-04-25,586.81182
2016-05-02,633.3272400000001
2016-05-09,618.47452
2016-05-16,701.48238
2016-05-23,666.56076
2016-05-30,813.0326
2016-06-06,715.13132
2016-06-13,877.3667200000001
2016-06-20,720.1783799999998
2016-06-27,702.7544200000001
2016-07-04,762.27072
2016-07-11,639.7493
2016-07-18,868.6283400000001
2016-07-25,784.8723600000001
2016-08-01,766.7913000000001
2016-08-08,736.9902600000001
2016-08-15,771.65294
2016-08-22,878.5676599999999
2016-08-29,927.392
2016-09-05,576.9262
2016-09-12,682.21212
2016-09-19,728.65898
2016-09-26,639.07974
2016-10-03,683.40372
2016-10-10,922.7104400000001
2016-10-17,815.8803399999999
2016-10-24,805.2339199999999
2016-10-31,809.42312
2016-11-07,884.32996
2016-11-14,890.0072800000002
2016-11-21,777.4627399999999
2016-11-28,636.8849600000001
2016-12-05,755.6858200000001
2016-12-12,670.51788
2016-12-19,913.68562
2016-12-26,574.7824400000001
2017-01-02,684.4913799999999
2017-01-09,633.33246
2017-01-16,836.9069999999999
2017-01-23,628.3945
2017-01-30,752.5507600000001
2017-02-06,803.1314600000001
2017-02-13,997.90392
2017-02-20,784.7973200000001
2017-02-27,660.6303800000001
2017-03-06,539.00428
2017-03-13,684.13196
2017-03-20,770.4839600000001
2017-03-27,1169.41676
2017-04-03,691.34364
2017-04-10,495.64526
2017-04-17,651.5154000000001
2017-04-24,706.12994
2017-05-01,761.7760400000001
2017-05-08,751.9180800000001
2017-05-15,566.36634
2017-05-22,601.85806
2017-05-29,659.9079199999999
2017-06-05,638.3857
2017-06-12,707.4439
2017-06-19,704.84092
2017-06-26,568.39236
2017-07-03,651.0964399999999
2017-07-10,719.7874400000001
2017-07-17,625.5768800000001
2017-07-24,591.43046
2017-07-31,638.22822
2017-08-07,798.2582
2017-08-14,675.65202
2017-08-21,702.03494
2017-08-28,700.0279599999999
2017-09-04,627.9678200000001
2017-09-11,784.04518
2017-09-18,739.5299400000001
2017-09-25,641.87614
2017-10-02,625.7863600000001
2017-10-09,592.0338399999999
2017-10-16,629.81718
2017-10-23,532.2423799999999
2017-10-30,654.9731
2017-11-06,732.63848
2017-11-13,678.56692
2017-11-20,570.15298
2017-11-27,387.18574000000007
2017-12-04,655.9681800000001
2017-12-11,777.45484
2017-12-18,858.0585000000001
2017-12-25,407.4760600000001
2018-01-01,636.6662200000001
2018-01-08,864.92958
2018-01-15,762.4253
2018-01-22,895.33168
2018-01-29,879.93358
2018-02-05,762.50404
2018-02-12,705.53882
2018-02-19,824.52268
2018-02-26,805.7520200000001
2018-03-05,677.4395000000001
2018-03-12,881.9130799999999
2018-03-19,666.0954800000001
2018-03-26,578.8091400000001
2018-04-02,625.2725
2018-04-09,540.70776
2018-04-16,614.77642
2018-04-23,514.0084400000001
2018-04-30,589.17916
2018-05-07,661.7723000000001
2018-05-14,648.6476399999999
2018-05-21,568.58618
2018-05-28,535.4573800000001
2018-06-04,421.59678
2018-06-11,714.3427199999999
2018-06-18,620.0618
2018-06-25,610.1659400000001
2018-07-02,484.00184
2018-07-09,608.70962
2018-07-16,458.76935999999995
2018-07-23,584.1468400000001
2018-07-30,619.11408
2018-08-06,605.8493400000001
2018-08-13,658.8432799999999
2018-08-20,606.7534800000001
2018-08-27,782.20354
2018-09-03,684.08754
2018-09-10,496.32394
2018-09-17,591.82862
2018-09-24,586.20484
2018-10-01,492.8582599999999
2018-10-08,578.0011400000001
2018-10-15,451.35528
2018-10-22,641.31952
2018-10-29,521.93276
2018-11-05,555.7022000000001
2018-11-12,510.7467
2018-11-19,527.38758
2018-11-26,731.8664
2018-12-03,417.47542000000004
2018-12-10,412.6849400000001
2018-12-17,535.4745
2018-12-24,234.214
2018-12-31,353.77228
2019-01-07,377.95464
2019-01-14,406.39102
2019-01-21,559.8254000000001
2019-01-28,601.32628
2019-02-04,537.5965
2019-02-11,548.03988
2019-02-18,617.2798000000001
2019-02-25,563.15158
2019-03-04,476.53868
2019-03-11,554.42718
2019-03-18,510.05808
2019-03-25,542.27772
2019-04-01,663.73016
2019-04-08,742.01458
2019-04-15,458.85143999999997
2019-04-22,606.5386000000001
2019-04-29,554.44626
2019-05-06,488.45438
2019-05-13,520.9209800000001
2019-05-20,568.4887
2019-05-27,593.04756
2019-06-03,562.8957
2019-06-10,570.0429399999999
2019-06-17,470.5249
2019-06-24,499.69503999999995
2019-07-01,535.97492
2019-07-08,614.4820000000001
2019-07-15,547.90314
2019-07-22,532.44602
2019-07-29,775.6826
2019-08-05,762.3513599999999
2019-08-12,525.4936600000001
2019-08-19,492.6700400000001
2019-08-26,405.58014000000003
2019-09-02,464.6281
2019-09-09,544.3995199999999
2019-09-16,465.56590000000006
2019-09-23,491.5950799999999
2019-09-30,527.4184400000001
2019-10-07,377.5925200000001
